iter	Passed	Remaining
499	1590	1590
500	1592	1586
501	1594	1581
502	1596	1577
503	1598	1573
504	1600	1569
505	1602	1564
506	1606	1562
507	1608	1557
508	1610	1553
509	1612	1549
510	1614	1544
511	1616	1540
512	1618	1536
513	1623	1535
514	1626	1531
515	1628	1527
516	1630	1523
517	1632	1518
518	1634	1514
519	1637	1511
520	1640	1508
521	1642	1503
522	1644	1499
523	1646	1495
524	1648	1491
525	1650	1487
526	1653	1484
527	1655	1480
528	1657	1476
529	1659	1472
530	1662	1467
531	1664	1463
532	1666	1459
533	1669	1456
534	1672	1453
535	1675	1450
536	1677	1446
537	1680	1442
538	1682	1438
539	1685	1435
540	1687	1432
541	1689	1427
542	1691	1423
543	1693	1419
544	1695	1415
545	1697	1411
546	1701	1409
547	1705	1406
548	1707	1402
549	1710	1399
550	1712	1395
551	1714	1391
552	1717	1387
553	1719	1384
554	1721	1380
555	1723	1376
556	1725	1372
557	1727	1368
558	1729	1364
559	1733	1361
560	1736	1358
561	1738	1355
562	1742	1352
563	1744	1348
564	1746	1344
565	1748	1340
566	1751	1337
567	1753	1333
568	1755	1329
569	1757	1325
570	1759	1322
571	1761	1318
572	1764	1314
573	1767	1311
574	1769	1308
575	1772	1304
576	1774	1301
577	1776	1297
578	1778	1293
579	1782	1291
580	1784	1287
581	1787	1283
582	1789	1279
583	1791	1276
584	1793	1272
585	1797	1269
586	1799	1266
587	1801	1262
588	1803	1258
589	1805	1254
590	1808	1251
591	1810	1247
592	1813	1244
593	1815	1241
594	1817	1237
595	1819	1233
596	1821	1229
597	1823	1226
598	1825	1222
599	1829	1219
600	1831	1215
601	1833	1212
602	1835	1208
603	1837	1204
604	1839	1201
605	1841	1197
606	1845	1194
607	1847	1191
608	1849	1187
609	1851	1183
610	1853	1180
611	1855	1176
612	1857	1172
613	1860	1169
614	1863	1166
615	1865	1162
616	1867	1159
617	1869	1155
618	1871	1152
619	1873	1148
620	1876	1145
621	1879	1142
622	1881	1138
623	1883	1134
624	1885	1131
625	1887	1127
626	1889	1123
627	1892	1120
628	1894	1117
629	1896	1114
630	1899	1110
631	1902	1107
632	1904	1104
633	1906	1100
634	1909	1097
635	1912	1094
636	1914	1090
637	1916	1087
638	1918	1083
639	1920	1080
640	1922	1076
641	1926	1074
642	1928	1070
643	1930	1067
644	1932	1063
645	1935	1060
646	1937	1056
647	1938	1053
648	1942	1050
649	1944	1047
650	1946	1043
651	1948	1040
652	1951	1036
653	1953	1033
654	1955	1029
655	1959	1027
656	1962	1024
657	1964	1021
658	1966	1017
659	1968	1014
660	1970	1010
661	1973	1007
662	1976	1004
663	1978	1001
664	1980	997
665	1982	994
666	1984	990
667	1986	987
668	1991	985
669	1993	981
670	1995	978
671	1997	974
672	1999	971
673	2001	968
674	2003	964
675	2007	962
676	2009	958
677	2011	955
678	2013	951
679	2015	948
680	2017	945
681	2020	941
682	2022	938
683	2025	935
684	2027	932
685	2029	928
686	2030	925
687	2033	921
688	2034	918
689	2038	915
690	2040	912
691	2042	909
692	2044	905
693	2046	902
694	2048	898
695	2050	895
696	2053	892
697	2055	889
698	2057	886
699	2060	882
700	2062	879
701	2064	876
702	2066	872
703	2069	869
704	2071	866
705	2073	863
706	2076	860
707	2078	857
708	2080	853
709	2082	850
710	2086	847
711	2088	844
712	2091	841
713	2093	838
714	2095	835
715	2098	832
716	2101	829
717	2104	826
718	2107	823
719	2109	820
720	2112	817
721	2114	814
722	2118	811
723	2120	808
724	2123	805
725	2126	802
726	2129	799
727	2131	796
728	2135	793
729	2138	790
730	2140	787
731	2142	784
732	2145	781
733	2148	778
734	2152	775
735	2154	772
736	2157	769
737	2159	766
738	2162	763
739	2165	760
740	2168	757
741	2171	754
742	2174	752
743	2176	748
744	2178	745
745	2182	743
746	2184	739
747	2187	736
748	2189	733
749	2192	730
750	2194	727
751	2198	724
752	2200	721
753	2202	718
754	2204	715
755	2206	712
756	2208	708
757	2210	705
758	2213	702
759	2215	699
760	2217	696
761	2219	693
762	2221	690
763	2223	686
764	2225	683
765	2229	680
766	2231	677
767	2233	674
768	2235	671
769	2237	668
770	2239	665
771	2241	662
772	2244	659
773	2247	656
774	2249	653
775	2251	649
776	2253	646
777	2255	643
778	2257	640
779	2260	637
780	2263	634
781	2265	631
782	2267	628
783	2269	625
784	2271	622
785	2273	619
786	2276	616
787	2279	613
788	2283	610
789	2285	607
790	2288	604
791	2290	601
792	2295	599
793	2297	596
794	2300	593
795	2302	590
796	2304	587
797	2307	584
798	2311	581
799	2313	578
800	2316	575
801	2319	572
802	2322	569
803	2327	567
804	2330	564
805	2333	561
806	2335	558
807	2337	555
808	2340	552
809	2343	549
810	2345	546
811	2347	543
812	2349	540
813	2352	537
814	2354	534
815	2356	531
816	2359	528
817	2361	525
818	2364	522
819	2366	519
820	2368	516
821	2370	513
822	2375	510
823	2379	508
824	2382	505
825	2386	502
826	2389	499
827	2393	497
828	2396	494
829	2399	491
830	2402	488
831	2406	485
832	2410	483
833	2412	480
834	2414	477
835	2416	474
836	2418	471
837	2421	468
838	2424	465
839	2426	462
840	2428	459
841	2430	456
842	2432	453
843	2434	449
844	2437	447
845	2439	444
846	2441	441
847	2443	438
848	2446	435
849	2448	432
850	2450	428
851	2452	426
852	2455	423
853	2457	420
854	2459	417
855	2461	414
856	2463	411
857	2465	408
858	2467	405
859	2471	402
860	2473	399
861	2475	396
862	2477	393
863	2479	390
864	2481	387
865	2483	384
866	2487	381
867	2489	378
868	2491	375
869	2493	372
870	2495	369
871	2497	366
872	2499	363
873	2502	360
874	2504	357
875	2506	354
876	2508	351
877	2510	348
878	2512	345
879	2515	342
880	2517	340
881	2520	337
882	2522	334
883	2524	331
884	2526	328
885	2528	325
886	2530	322
887	2533	319
888	2536	316
889	2538	313
890	2540	310
891	2542	307
892	2544	304
893	2546	301
894	2550	299
895	2552	296
896	2555	293
897	2557	290
898	2559	287
899	2561	284
900	2563	281
901	2566	278
902	2569	275
903	2571	273
904	2573	270
905	2575	267
906	2577	264
907	2579	261
908	2583	258
909	2585	255
910	2587	252
911	2589	249
912	2591	246
913	2593	244
914	2595	241
915	2598	238
916	2601	235
917	2603	232
918	2605	229
919	2607	226
920	2609	223
921	2611	220
922	2614	218
923	2617	215
924	2619	212
925	2621	209
926	2623	206
927	2625	203
928	2627	200
929	2631	198
930	2633	195
931	2635	192
932	2637	189
933	2639	186
934	2641	183
935	2644	180
936	2648	178
937	2650	175
938	2652	172
939	2654	169
940	2656	166
941	2659	163
942	2661	160
943	2664	158
944	2666	155
945	2668	152
946	2670	149
947	2673	146
948	2674	143
949	2678	140
950	2681	138
951	2683	135
952	2685	132
953	2687	129
954	2689	126
955	2691	123
956	2695	121
957	2697	118
958	2699	115
959	2701	112
960	2703	109
961	2705	106
962	2707	104
963	2711	101
964	2713	98
965	2715	95
966	2717	92
967	2719	89
968	2721	87
969	2724	84
970	2727	81
971	2729	78
972	2732	75
973	2734	72
974	2736	70
975	2738	67
976	2740	64
977	2744	61
978	2746	58
979	2748	56
980	2751	53
981	2753	50
982	2755	47
983	2758	44
984	2761	42
985	2763	39
986	2765	36
987	2767	33
988	2770	30
989	2772	28
990	2776	25
991	2779	22
992	2781	19
993	2783	16
994	2785	13
995	2787	11
996	2790	8
997	2793	5
998	2795	2
999	2797	0
